imdbId,title,tags
tt0313743,vadh,"mystery thriller nanapatekar anupamaverma pururajkumar nakhul nanapatekar a leading psychologist's much younger wife begins an extramarital affair with his close friend. when the doctor finds out, he plots revenge, which puts himself, his wife, his close friend and his brother in mortal danger."
tt0313844,16 december,action drama mystery dannydenzongpa gulshangrover milindsoman dipannitasharma manishankar indian intelligence agents race against time to stop a renegade pakistani terrorist from detonating a nuclear weapon in delhi. white collar crimes that drain the nation of precious foreign exchange is connected to the funding of international terrorism. the much-told hollywood theme is retold in the indian context with much needed technical wizadry.
tt0314006,dum,"crime vivekoberoi diamirza atulkulkarni mukeshrishi eeshwarnivas satya (silambarasan) is the son of a police constable. he gets into fights and ends up in jail where his own father gets him out on bail. while he is returning home from a party drunk, a group of college students beat him up. that is when suchitra (rakshitha) comes and takes him to the hospital and gives blood. she is the daughter of a police commissioner. later, satya falls in love with suchitra. that leads to several problems which are faced bravely by satya in the later part of the film. finally, all goes well, and satya also receives the letter confirming his selection for ips."
tt0314008,durga,"action crime j.d.chakravarthi snehaldabi jayaprakash priyanka j.d.chakravarthi college student durga (j d chakravarthy) lives with his grandfather and shuns all violence. he also loves gayathri, a fellow student whom he plans to marry, but her father is against the match. when a local don learns that durga persists in pursuing the relationship against the wishes of gayathri's father, he sends his henchmen to kill him -- unleashing a storm of terror on gayathri and her family."
tt0314186,humko tumse pyaar hai,"romance thriller arjunrampal ameeshapatel bobbydeol achintkaur buntysoorma jaipur-based durga has been blind as far as she can remember, and helps her dad make clay statues of hindu gods and goddesses. when her dad passes away, she and her mom continue making clay statues to make a living. then one day durga is involved in an accident and is rescued by a young man named babu. both of them fall in love with each and want to get married. but before that could happen, dubai returned rana, another man who wants to marry durga, kills her mom and then babu himself. a devastated durga undergoes eye surgery through swiss-based dr. r.k. prasad and regains her sight. dr. prasad takes her with him to live in switzerland and this is where multi-millionaire raj enters her life and wants to marry her."
tt0315632,road,"thriller manojbajpayee vivekoberoi antaramali sayajishinde rajatmukherjee a view of the inhabitants of a derelict road in manchester, unsatisfied with their lives and routines. a young man locks himself away from the world. an older woman flirts with a soldier on leave. two men invite two girls into an empty house."
tt0315767,angaar: the fire,action vinayanand ranajungbahadur rajatbedi sanoberkabir ajaykashyap 
tt0315777,ansh: the deadly part,musical action ompuri ashutoshrana abbas sharbanimukherji rajanjohri 
tt0316154,lal salaam,"musical action drama nanditadas sharads.kapoor makranddeshpande vijayraaz gaganvihariborate when a cricket game between two brothers goes wrong, a group of indian villages are torn apart in the process. with tensions exacerbated by a scheming politician, the two brothers and their father must reconcile their differences to revitalize the locals’ hindu and muslim unity."
tt0316911,yeh kaisi mohabbat,musical drama romance krishnaabhishek vivekababajee sheebabhakri deeksha dinkarkapur 
